CIP Title,SOC Title
"Astronomy and Astrophysics, Other.","Physics Teachers, Postsecondary"
"Atmospheric Sciences and Meteorology, General.",Natural Sciences Managers
"Atmospheric Sciences and Meteorology, General.",Atmospheric and Space Scientists
"Atmospheric Sciences and Meteorology, General.","Life, Physical, and Social Science Technicians, All Other"
"Atmospheric Sciences and Meteorology, General.","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
Atmospheric Chemistry and Climatology.,Natural Sciences Managers
Atmospheric Chemistry and Climatology.,Atmospheric and Space Scientists
Atmospheric Chemistry and Climatology.,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
Atmospheric Physics and Dynamics.,Natural Sciences Managers
Atmospheric Physics and Dynamics.,Atmospheric and Space Scientists
Atmospheric Physics and Dynamics.,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
Meteorology.,Natural Sciences Managers
Meteorology.,Atmospheric and Space Scientists
Meteorology.,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
"Atmospheric Sciences and Meteorology, Other.",Natural Sciences Managers
"Atmospheric Sciences and Meteorology, Other.",Atmospheric and Space Scientists
"Atmospheric Sciences and Meteorology, Other.","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
"Chemistry, General.",Natural Sciences Managers
"Chemistry, General.",Chemists
"Chemistry, General.",Food Science Technicians
"Chemistry, General.",Chemical Technicians
"Chemistry, General.",Forensic Science Technicians
"Chemistry, General.","Chemistry Teachers, Postsecondary"
"Chemistry, General.","Secondary School Teachers, Except Special and Career/Technical Education"
Analytical Chemistry.,Natural Sciences Managers
Analytical Chemistry.,Chemists
Analytical Chemistry.,Chemical Technicians
Analytical Chemistry.,"Chemistry Teachers, Postsecondary"
Inorganic Chemistry.,Natural Sciences Managers
Inorganic Chemistry.,Chemists
Inorganic Chemistry.,Chemical Technicians
Inorganic Chemistry.,"Chemistry Teachers, Postsecondary"
Organic Chemistry.,Natural Sciences Managers
Organic Chemistry.,Chemists
Organic Chemistry.,Chemical Technicians
Organic Chemistry.,"Chemistry Teachers, Postsecondary"
Physical Chemistry.,Natural Sciences Managers
Physical Chemistry.,Chemists
Physical Chemistry.,"Chemistry Teachers, Postsecondary"
Polymer Chemistry.,Natural Sciences Managers
Polymer Chemistry.,Chemists
Polymer Chemistry.,"Chemistry Teachers, Postsecondary"
Chemical Physics.,Natural Sciences Managers
Chemical Physics.,Chemists
Chemical Physics.,"Chemistry Teachers, Postsecondary"
Chemical Physics.,"Physics Teachers, Postsecondary"
Environmental Chemistry.,Natural Sciences Managers
Environmental Chemistry.,Chemists
Environmental Chemistry.,"Environmental Scientists and Specialists, Including Health"
Environmental Chemistry.,Chemical Technicians
Environmental Chemistry.,"Environmental Science and Protection Technicians, Including Health"
Environmental Chemistry.,"Chemistry Teachers, Postsecondary"
Environmental Chemistry.,"Environmental Science Teachers, Postsecondary"
Forensic Chemistry.,Natural Sciences Managers
Forensic Chemistry.,Chemists
Forensic Chemistry.,Forensic Science Technicians
Forensic Chemistry.,"Chemistry Teachers, Postsecondary"
Theoretical Chemistry.,Natural Sciences Managers
Theoretical Chemistry.,Chemists
Theoretical Chemistry.,"Chemistry Teachers, Postsecondary"
Cheminformatics/Chemistry Informatics.,Natural Sciences Managers
Cheminformatics/Chemistry Informatics.,Computer and Information Research Scientists
Cheminformatics/Chemistry Informatics.,"Computer Occupations, All Other"
Cheminformatics/Chemistry Informatics.,Data Scientists
Cheminformatics/Chemistry Informatics.,Chemists
Cheminformatics/Chemistry Informatics.,"Chemistry Teachers, Postsecondary"
"Chemistry, Other.",Natural Sciences Managers
"Chemistry, Other.",Chemists
"Chemistry, Other.","Chemistry Teachers, Postsecondary"
"Geology/Earth Science, General.",Natural Sciences Managers
"Geology/Earth Science, General.","Geoscientists, Except Hydrologists and Geographers"
"Geology/Earth Science, General.",Hydrologists
"Geology/Earth Science, General.","Geological Technicians, Except Hydrologic Technicians"
"Geology/Earth Science, General.","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
Geochemistry.,Natural Sciences Managers
Geochemistry.,"Geoscientists, Except Hydrologists and Geographers"
Geochemistry.,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
Geochemistry.,"Chemistry Teachers, Postsecondary"
Geophysics and Seismology.,Natural Sciences Managers
Geophysics and Seismology.,"Geoscientists, Except Hydrologists and Geographers"
Geophysics and Seismology.,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
Paleontology.,Natural Sciences Managers
Paleontology.,"Geoscientists, Except Hydrologists and Geographers"
Paleontology.,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
Hydrology and Water Resources Science.,Natural Sciences Managers
Hydrology and Water Resources Science.,Hydrologists
Hydrology and Water Resources Science.,Hydrologic Technicians
Hydrology and Water Resources Science.,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
Geochemistry and Petrology.,Natural Sciences Managers
Geochemistry and Petrology.,"Geoscientists, Except Hydrologists and Geographers"
Geochemistry and Petrology.,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
"Oceanography, Chemical and Physical.",Natural Sciences Managers
"Oceanography, Chemical and Physical.","Geoscientists, Except Hydrologists and Geographers"
"Oceanography, Chemical and Physical.",Hydrologists
"Oceanography, Chemical and Physical.","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
"Geological and Earth Sciences/Geosciences, Other.",Natural Sciences Managers
"Geological and Earth Sciences/Geosciences, Other.","Geoscientists, Except Hydrologists and Geographers"
"Geological and Earth Sciences/Geosciences, Other.","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
"Physics, General.",Natural Sciences Managers
"Physics, General.",Physicists
"Physics, General.","Physics Teachers, Postsecondary"
"Physics, General.","Secondary School Teachers, Except Special and Career/Technical Education"
Atomic/Molecular Physics.,Natural Sciences Managers
Atomic/Molecular Physics.,Physicists
Atomic/Molecular Physics.,"Physics Teachers, Postsecondary"
Elementary Particle Physics.,Natural Sciences Managers
Elementary Particle Physics.,Physicists
Elementary Particle Physics.,"Physics Teachers, Postsecondary"
Plasma and High-Temperature Physics.,Natural Sciences Managers
Plasma and High-Temperature Physics.,Physicists
Plasma and High-Temperature Physics.,"Physics Teachers, Postsecondary"
Nuclear Physics.,Natural Sciences Managers
Nuclear Physics.,Physicists
Nuclear Physics.,"Physics Teachers, Postsecondary"
Optics/Optical Sciences.,Natural Sciences Managers
Optics/Optical Sciences.,Physicists
Optics/Optical Sciences.,"Physics Teachers, Postsecondary"
Condensed Matter and Materials Physics.,Natural Sciences Managers
Condensed Matter and Materials Physics.,Physicists
Condensed Matter and Materials Physics.,"Physics Teachers, Postsecondary"
Acoustics.,Natural Sciences Managers
Acoustics.,Physicists
Acoustics.,"Physics Teachers, Postsecondary"
Theoretical and Mathematical Physics.,Natural Sciences Managers
Theoretical and Mathematical Physics.,Physicists
Theoretical and Mathematical Physics.,"Physics Teachers, Postsecondary"
"Physics, Other.",Natural Sciences Managers
"Physics, Other.",Physicists
"Physics, Other.","Physics Teachers, Postsecondary"
Materials Science.,Architectural and Engineering Managers
Materials Science.,Materials Scientists
Materials Science.,"Life, Physical, and Social Science Technicians, All Other"
Materials Science.,"Engineering Teachers, Postsecondary"
Materials Chemistry.,Natural Sciences Managers
Materials Chemistry.,Chemists
Materials Chemistry.,Materials Scientists
Materials Chemistry.,"Life, Physical, and Social Science Technicians, All Other"
Materials Chemistry.,"Chemistry Teachers, Postsecondary"
"Materials Sciences, Other.",Natural Sciences Managers
"Materials Sciences, Other.",Materials Scientists
"Materials Sciences, Other.","Postsecondary Teachers, All Other"
Physics and Astronomy.,Natural Sciences Managers
Physics and Astronomy.,Astronomers
Physics and Astronomy.,Physicists
Physics and Astronomy.,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
Physics and Astronomy.,"Physics Teachers, Postsecondary"
"Physical Sciences, Other.",Natural Sciences Managers
"Physical Sciences, Other.","Physical Scientists, All Other"
"Physical Sciences, Other.","Postsecondary Teachers, All Other"
"Science Technologies/Technicians, General.","Geological Technicians, Except Hydrologic Technicians"
"Science Technologies/Technicians, General.",Hydrologic Technicians
"Science Technologies/Technicians, General.","Life, Physical, and Social Science Technicians, All Other"
Biology/Biotechnology Technology/Technician.,Biological Technicians
Industrial Radiologic Technology/Technician.,Nuclear Technicians
Nuclear/Nuclear Power Technology/Technician.,Nuclear Technicians
Nuclear/Nuclear Power Technology/Technician.,Nuclear Power Reactor Operators
"Nuclear and Industrial Radiologic Technologies/Technicians, Other.",Nuclear Technicians
Chemical Technology/Technician.,Chemical Technicians
Chemical Technology/Technician.,Chemical Plant and System Operators
Chemical Technology/Technician.,Chemical Equipment Operators and Tenders
Chemical Process Technology.,Chemical Technicians
Chemical Process Technology.,"Geological Technicians, Except Hydrologic Technicians"
Chemical Process Technology.,"Life, Physical, and Social Science Technicians, All Other"
Chemical Process Technology.,Chemical Plant and System Operators
Chemical Process Technology.,Chemical Equipment Operators and Tenders
"Physical Science Technologies/Technicians, Other.","Environmental Science and Protection Technicians, Including Health"
"Physical Science Technologies/Technicians, Other.","Geological Technicians, Except Hydrologic Technicians"
"Physical Science Technologies/Technicians, Other.",Hydrologic Technicians
"Physical Science Technologies/Technicians, Other.","Life, Physical, and Social Science Technicians, All Other"
"Science Technologies/Technicians, Other.","Environmental Science and Protection Technicians, Including Health"
"Science Technologies/Technicians, Other.","Geological Technicians, Except Hydrologic Technicians"
"Science Technologies/Technicians, Other.",Hydrologic Technicians
"Science Technologies/Technicians, Other.","Life, Physical, and Social Science Technicians, All Other"
"Psychology, General.","Managers, All Other"
"Psychology, General.",Industrial-Organizational Psychologists
"Psychology, General.",Clinical and Counseling Psychologists
"Psychology, General.","Psychologists, All Other"
"Psychology, General.",Social Science Research Assistants
"Psychology, General.","Psychology Teachers, Postsecondary"
Cognitive Psychology and Psycholinguistics.,"Managers, All Other"
Cognitive Psychology and Psycholinguistics.,"Psychologists, All Other"
Cognitive Psychology and Psycholinguistics.,"Psychology Teachers, Postsecondary"
Comparative Psychology.,"Managers, All Other"
Comparative Psychology.,"Psychologists, All Other"
Comparative Psychology.,"Psychology Teachers, Postsecondary"
Developmental and Child Psychology.,"Managers, All Other"
Developmental and Child Psychology.,Clinical and Counseling Psychologists
Developmental and Child Psychology.,"Child, Family, and School Social Workers"
Developmental and Child Psychology.,"Psychology Teachers, Postsecondary"
Experimental Psychology.,"Managers, All Other"
Experimental Psychology.,"Psychologists, All Other"
Experimental Psychology.,"Psychology Teachers, Postsecondary"
Personality Psychology.,"Managers, All Other"
Personality Psychology.,"Psychologists, All Other"
Personality Psychology.,"Psychology Teachers, Postsecondary"
Behavioral Neuroscience.,"Managers, All Other"
Behavioral Neuroscience.,"Biological Scientists, All Other"
Behavioral Neuroscience.,"Life Scientists, All Other"
Behavioral Neuroscience.,"Psychologists, All Other"
Behavioral Neuroscience.,"Psychology Teachers, Postsecondary"
Social Psychology.,"Managers, All Other"
Social Psychology.,"Psychologists, All Other"
Social Psychology.,"Psychology Teachers, Postsecondary"
Psychometrics and Quantitative Psychology.,"Managers, All Other"
Psychometrics and Quantitative Psychology.,Statisticians
Psychometrics and Quantitative Psychology.,"Psychologists, All Other"
Psychometrics and Quantitative Psychology.,Social Science Research Assistants
Psychometrics and Quantitative Psychology.,"Psychology Teachers, Postsecondary"
Psychopharmacology.,"Managers, All Other"
Psychopharmacology.,"Medical Scientists, Except Epidemiologists"
Psychopharmacology.,"Psychologists, All Other"
Psychopharmacology.,"Health Specialties Teachers, Postsecondary"
Developmental and Adolescent Psychology.,"Managers, All Other"
Developmental and Adolescent Psychology.,"Child, Family, and School Social Workers"
Developmental and Adolescent Psychology.,"Psychology Teachers, Postsecondary"
"Research and Experimental Psychology, Other.","Managers, All Other"
"Research and Experimental Psychology, Other.","Psychologists, All Other"
"Research and Experimental Psychology, Other.","Psychology Teachers, Postsecondary"
Clinical Psychology.,"Managers, All Other"
Clinical Psychology.,Clinical and Counseling Psychologists
Clinical Psychology.,"Psychology Teachers, Postsecondary"
Community Psychology.,"Managers, All Other"
Community Psychology.,"Psychologists, All Other"
Community Psychology.,"Psychology Teachers, Postsecondary"
Counseling Psychology.,"Managers, All Other"
Counseling Psychology.,Clinical and Counseling Psychologists
Counseling Psychology.,Mental Health Counselors
Counseling Psychology.,"Counselors, All Other"
Counseling Psychology.,"Psychology Teachers, Postsecondary"
Industrial and Organizational Psychology.,Human Resources Managers
Industrial and Organizational Psychology.,Training and Development Managers
Industrial and Organizational Psychology.,"Managers, All Other"
Industrial and Organizational Psychology.,Human Resources Specialists
Industrial and Organizational Psychology.,Management Analysts
Industrial and Organizational Psychology.,Training and Development Specialists
Industrial and Organizational Psychology.,Industrial-Organizational Psychologists
Industrial and Organizational Psychology.,"Psychology Teachers, Postsecondary"
School Psychology.,"Managers, All Other"
School Psychology.,School Psychologists
School Psychology.,"Educational, Guidance, and Career Counselors and Advisors"
School Psychology.,"Psychology Teachers, Postsecondary"
Educational Psychology.,"Managers, All Other"
Educational Psychology.,School Psychologists
Educational Psychology.,"Psychologists, All Other"
Educational Psychology.,"Psychology Teachers, Postsecondary"
Clinical Child Psychology.,"Managers, All Other"
Clinical Child Psychology.,Clinical and Counseling Psychologists
Clinical Child Psychology.,"Psychologists, All Other"
Clinical Child Psychology.,"Psychology Teachers, Postsecondary"
Environmental Psychology.,"Managers, All Other"
Environmental Psychology.,"Psychologists, All Other"
Environmental Psychology.,"Psychology Teachers, Postsecondary"
Geropsychology.,"Managers, All Other"
Geropsychology.,Clinical and Counseling Psychologists
Geropsychology.,"Psychology Teachers, Postsecondary"
Health/Medical Psychology.,"Managers, All Other"
Health/Medical Psychology.,Clinical and Counseling Psychologists
Health/Medical Psychology.,"Psychologists, All Other"
Health/Medical Psychology.,"Psychology Teachers, Postsecondary"
Family Psychology.,"Managers, All Other"
Family Psychology.,Clinical and Counseling Psychologists
Family Psychology.,"Psychologists, All Other"
Family Psychology.,"Psychology Teachers, Postsecondary"
Forensic Psychology.,"Managers, All Other"
Forensic Psychology.,"Psychologists, All Other"
Forensic Psychology.,"Psychology Teachers, Postsecondary"
Applied Psychology.,"Managers, All Other"
Applied Psychology.,"Psychologists, All Other"
Applied Psychology.,"Psychology Teachers, Postsecondary"
Applied Behavior Analysis.,"Managers, All Other"
Applied Behavior Analysis.,Clinical and Counseling Psychologists
Applied Behavior Analysis.,"Psychologists, All Other"
Applied Behavior Analysis.,"Psychology Teachers, Postsecondary"
Applied Behavior Analysis.,"Teaching Assistants, Special Education"
Performance and Sport Psychology.,"Psychologists, All Other"
Performance and Sport Psychology.,"Psychology Teachers, Postsecondary"
Performance and Sport Psychology.,Coaches and Scouts
Somatic Psychology.,"Psychologists, All Other"
Somatic Psychology.,"Psychology Teachers, Postsecondary"
Transpersonal/Spiritual Psychology.,"Psychologists, All Other"
Transpersonal/Spiritual Psychology.,"Psychology Teachers, Postsecondary"
"Clinical, Counseling and Applied Psychology, Other.","Managers, All Other"
"Clinical, Counseling and Applied Psychology, Other.","Psychologists, All Other"
"Clinical, Counseling and Applied Psychology, Other.","Psychology Teachers, Postsecondary"
"Psychology, Other.","Managers, All Other"
"Psychology, Other.","Psychologists, All Other"
"Psychology, Other.","Psychology Teachers, Postsecondary"
"Criminal Justice and Corrections, General.","Managers, All Other"
"Criminal Justice and Corrections, General.",Forensic Science Technicians
"Criminal Justice and Corrections, General.","Life, Physical, and Social Science Technicians, All Other"
"Criminal Justice and Corrections, General.","Criminal Justice and Law Enforcement Teachers, Postsecondary"
"Criminal Justice and Corrections, General.",First-Line Supervisors of Correctional Officers
"Criminal Justice and Corrections, General.",First-Line Supervisors of Police and Detectives
"Criminal Justice and Corrections, General.",Correctional Officers and Jailers
"Criminal Justice and Corrections, General.",Detectives and Criminal Investigators
"Criminal Justice and Corrections, General.",Police and Sheriffﾒs Patrol Officers
Corrections.,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
Corrections.,First-Line Supervisors of Correctional Officers
Corrections.,First-Line Supervisors of Police and Detectives
Corrections.,Correctional Officers and Jailers
Criminal Justice/Law Enforcement Administration.,"Managers, All Other"
Criminal Justice/Law Enforcement Administration.,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
Criminal Justice/Law Enforcement Administration.,First-Line Supervisors of Police and Detectives
Criminal Justice/Safety Studies.,"Life, Physical, and Social Science Technicians, All Other"
Criminal Justice/Safety Studies.,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
Criminal Justice/Safety Studies.,First-Line Supervisors of Correctional Officers
Criminal Justice/Safety Studies.,First-Line Supervisors of Police and Detectives
Criminal Justice/Police Science.,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
Criminal Justice/Police Science.,Bailiffs
Criminal Justice/Police Science.,Detectives and Criminal Investigators
Criminal Justice/Police Science.,Police and Sheriffﾒs Patrol Officers
Criminal Justice/Police Science.,Private Detectives and Investigators
Security and Loss Prevention Services.,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
Security and Loss Prevention Services.,First-Line Supervisors of Security Workers
Security and Loss Prevention Services.,Transit and Railroad Police
Security and Loss Prevention Services.,Gambling Surveillance Officers and Gambling Investigators
Security and Loss Prevention Services.,Security Guards
Juvenile Corrections.,"Child, Family, and School Social Workers"
Juvenile Corrections.,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
Juvenile Corrections.,Correctional Officers and Jailers
Securities Services Administration/Management.,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
Securities Services Administration/Management.,First-Line Supervisors of Security Workers
Securities Services Administration/Management.,"First-Line Supervisors of Protective Service Workers, All Other"
Corrections Administration.,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
Corrections Administration.,First-Line Supervisors of Correctional Officers
Law Enforcement Investigation and Interviewing.,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
Law Enforcement Investigation and Interviewing.,Detectives and Criminal Investigators
Law Enforcement Investigation and Interviewing.,Police and Sheriffﾒs Patrol Officers
Law Enforcement Record-Keeping and Evidence Management.,"Managers, All Other"
Law Enforcement Record-Keeping and Evidence Management.,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
Law Enforcement Record-Keeping and Evidence Management.,First-Line Supervisors of Police and Detectives
Law Enforcement Record-Keeping and Evidence Management.,Detectives and Criminal Investigators
Law Enforcement Record-Keeping and Evidence Management.,Police and Sheriffﾒs Patrol Officers
Law Enforcement Record-Keeping and Evidence Management.,Private Detectives and Investigators
Critical Incident Response/Special Police Operations.,Emergency Management Directors
Critical Incident Response/Special Police Operations.,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
Critical Incident Response/Special Police Operations.,First-Line Supervisors of Police and Detectives
Critical Incident Response/Special Police Operations.,Police and Sheriffﾒs Patrol Officers
Protective Services Operations.,Emergency Management Directors
Protective Services Operations.,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
Protective Services Operations.,First-Line Supervisors of Police and Detectives
Protective Services Operations.,Police and Sheriffﾒs Patrol Officers
Protective Services Operations.,Private Detectives and Investigators
Suspension and Debarment Investigation.,Compliance Officers
Suspension and Debarment Investigation.,Financial Examiners
Suspension and Debarment Investigation.,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
Suspension and Debarment Investigation.,Detectives and Criminal Investigators
Maritime Law Enforcement.,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
Maritime Law Enforcement.,First-Line Supervisors of Police and Detectives
Maritime Law Enforcement.,Detectives and Criminal Investigators
Maritime Law Enforcement.,Police and Sheriffﾒs Patrol Officers
Maritime Law Enforcement.,Private Detectives and Investigators
Cultural/Archaelogical Resources Protection.,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
Cultural/Archaelogical Resources Protection.,First-Line Supervisors of Police and Detectives
Cultural/Archaelogical Resources Protection.,"First-Line Supervisors of Protective Service Workers, All Other"
Cultural/Archaelogical Resources Protection.,Detectives and Criminal Investigators
Cultural/Archaelogical Resources Protection.,Private Detectives and Investigators
"Corrections and Criminal Justice, Other.","Criminal Justice and Law Enforcement Teachers, Postsecondary"
"Corrections and Criminal Justice, Other.",Correctional Officers and Jailers
Fire Prevention and Safety Technology/Technician.,First-Line Supervisors of Firefighting and Prevention Workers
Fire Prevention and Safety Technology/Technician.,Firefighters
Fire Prevention and Safety Technology/Technician.,Fire Inspectors and Investigators
Fire Services Administration.,"Managers, All Other"
Fire Services Administration.,"Career/Technical Education Teachers, Postsecondary"
Fire Services Administration.,First-Line Supervisors of Firefighting and Prevention Workers
Fire Science/Fire-fighting.,First-Line Supervisors of Firefighting and Prevention Workers
Fire Science/Fire-fighting.,Firefighters
Fire Science/Fire-fighting.,Fire Inspectors and Investigators
Fire Science/Fire-fighting.,Forest Fire Inspectors and Prevention Specialists
Fire Systems Technology.,NO MATCH
Fire/Arson Investigation and Prevention.,First-Line Supervisors of Firefighting and Prevention Workers
Fire/Arson Investigation and Prevention.,Fire Inspectors and Investigators
Wildland/Forest Firefighting and Investigation.,Firefighters
Wildland/Forest Firefighting and Investigation.,Forest Fire Inspectors and Prevention Specialists
"Fire Protection, Other.",First-Line Supervisors of Firefighting and Prevention Workers
"Fire Protection, Other.",Firefighters
Homeland Security.,Emergency Management Directors
Homeland Security.,"Managers, All Other"
Homeland Security.,First-Line Supervisors of Police and Detectives
Crisis/Emergency/Disaster Management.,Emergency Management Directors
Crisis/Emergency/Disaster Management.,"Managers, All Other"
Crisis/Emergency/Disaster Management.,First-Line Supervisors of Police and Detectives
Critical Infrastructure Protection.,Emergency Management Directors
Critical Infrastructure Protection.,"Managers, All Other"
Critical Infrastructure Protection.,First-Line Supervisors of Police and Detectives
Terrorism and Counterterrorism Operations.,Emergency Management Directors
Terrorism and Counterterrorism Operations.,"Managers, All Other"
Terrorism and Counterterrorism Operations.,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
Terrorism and Counterterrorism Operations.,"Postsecondary Teachers, All Other"
Terrorism and Counterterrorism Operations.,First-Line Supervisors of Police and Detectives
Terrorism and Counterterrorism Operations.,Special Forces Officers
Terrorism and Counterterrorism Operations.,Special Forces
"Homeland Security, Other.","Criminal Justice and Law Enforcement Teachers, Postsecondary"
"Homeland Security, Other.",First-Line Supervisors of Security Workers
"Homeland Security, Other.","First-Line Supervisors of Protective Service Workers, All Other"
"Security Science and Technology, General.","Criminal Justice and Law Enforcement Teachers, Postsecondary"
"Security Science and Technology, General.",First-Line Supervisors of Police and Detectives
"Security Science and Technology, General.",First-Line Supervisors of Security Workers
"Security Science and Technology, General.","First-Line Supervisors of Protective Service Workers, All Other"
Criminalistics and Criminal Science.,Forensic Science Technicians
Criminalistics and Criminal Science.,"Life, Physical, and Social Science Technicians, All Other"
Criminalistics and Criminal Science.,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
Criminalistics and Criminal Science.,Detectives and Criminal Investigators
Criminalistics and Criminal Science.,Police and Sheriffﾒs Patrol Officers
Cyber/Computer Forensics and Counterterrorism.,Information Security Analysts
Cyber/Computer Forensics and Counterterrorism.,"Computer Occupations, All Other"
Cyber/Computer Forensics and Counterterrorism.,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
Cyber/Computer Forensics and Counterterrorism.,Detectives and Criminal Investigators
Cyber/Computer Forensics and Counterterrorism.,Private Detectives and Investigators
Cybersecurity Defense Strategy/Policy.,"Managers, All Other"
Cybersecurity Defense Strategy/Policy.,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
Cybersecurity Defense Strategy/Policy.,First-Line Supervisors of Police and Detectives
Cybersecurity Defense Strategy/Policy.,"First-Line Supervisors of Protective Service Workers, All Other"
Cybersecurity Defense Strategy/Policy.,Special Forces Officers
Cybersecurity Defense Strategy/Policy.,Special Forces
Financial Forensics and Fraud Investigation.,Accountants and Auditors
Financial Forensics and Fraud Investigation.,Financial Examiners
Financial Forensics and Fraud Investigation.,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
Financial Forensics and Fraud Investigation.,Detectives and Criminal Investigators
Financial Forensics and Fraud Investigation.,Private Detectives and Investigators
Forensic Science and Technology.,Forensic Science Technicians
Forensic Science and Technology.,"Life, Physical, and Social Science Technicians, All Other"
Forensic Science and Technology.,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
Geospatial Intelligence.,Cartographers and Photogrammetrists
Geospatial Intelligence.,Geographers
Geospatial Intelligence.,"Geography Teachers, Postsecondary"
Geospatial Intelligence.,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
Geospatial Intelligence.,First-Line Supervisors of Police and Detectives
Geospatial Intelligence.,Detectives and Criminal Investigators
Geospatial Intelligence.,Special Forces Officers
Geospatial Intelligence.,Special Forces
Law Enforcement Intelligence Analysis.,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
Law Enforcement Intelligence Analysis.,Detectives and Criminal Investigators
"Security Science and Technology, Other.","Criminal Justice and Law Enforcement Teachers, Postsecondary"
"Security Science and Technology, Other.",First-Line Supervisors of Police and Detectives
"Security Science and Technology, Other.",First-Line Supervisors of Security Workers
"Homeland Security, Law Enforcement, Firefighting and Related Protective Services, Other.",NO MATCH
"Human Services, General.",Social and Community Service Managers
"Human Services, General.",Social and Human Service Assistants
"Human Services, General.","Community and Social Service Specialists, All Other"
Community Organization and Advocacy.,Social and Community Service Managers
Community Organization and Advocacy.,"Community and Social Service Specialists, All Other"
Community Organization and Advocacy.,"Eligibility Interviewers, Government Programs"
Public Administration.,Chief Executives
Public Administration.,General and Operations Managers
Public Administration.,Legislators
Public Administration.,"Transportation, Storage, and Distribution Managers"
Public Administration.,Postmasters and Mail Superintendents
Public Administration.,Social and Community Service Managers
Public Administration.,"Managers, All Other"
Public Works Management.,Construction Managers
Public Works Management.,"Managers, All Other"
Transportation and Infrastructure Planning/Studies.,"Transportation, Storage, and Distribution Managers"
Transportation and Infrastructure Planning/Studies.,Urban and Regional Planners
Transportation and Infrastructure Planning/Studies.,Traffic Technicians
"Public Administration, Other.","Managers, All Other"
"Public Policy Analysis, General.",Legislators
"Public Policy Analysis, General.",Political Scientists
"Public Policy Analysis, General.",Social Science Research Assistants
"Public Policy Analysis, General.","Political Science Teachers, Postsecondary"
Education Policy Analysis.,"Social Scientists and Related Workers, All Other"
Education Policy Analysis.,Social Science Research Assistants
Education Policy Analysis.,"Political Science Teachers, Postsecondary"
Education Policy Analysis.,"Education Teachers, Postsecondary"
Health Policy Analysis.,Medical and Health Services Managers
Health Policy Analysis.,"Social Scientists and Related Workers, All Other"
Health Policy Analysis.,Social Science Research Assistants
Health Policy Analysis.,"Health Specialties Teachers, Postsecondary"
International Policy Analysis.,Political Scientists
International Policy Analysis.,Social Science Research Assistants
International Policy Analysis.,"Political Science Teachers, Postsecondary"
"Public Policy Analysis, Other.",NO MATCH
Social Work.,Social and Community Service Managers
Social Work.,Marriage and Family Therapists
Social Work.,"Counselors, All Other"
Social Work.,"Child, Family, and School Social Workers"
Social Work.,Healthcare Social Workers
Social Work.,Mental Health and Substance Abuse Social Workers
Social Work.,"Social Workers, All Other"
Social Work.,Probation Officers and Correctional Treatment Specialists
Social Work.,"Social Work Teachers, Postsecondary"
Youth Services/Administration.,Social and Community Service Managers
Youth Services/Administration.,"Child, Family, and School Social Workers"
Forensic Social Work.,Social and Community Service Managers
Forensic Social Work.,"Child, Family, and School Social Workers"
Forensic Social Work.,Healthcare Social Workers
Forensic Social Work.,"Social Workers, All Other"
Forensic Social Work.,"Social Work Teachers, Postsecondary"
"Social Work, Other.",Social and Community Service Managers
"Social Work, Other.","Child, Family, and School Social Workers"
"Social Work, Other.",Healthcare Social Workers
"Social Work, Other.",Mental Health and Substance Abuse Social Workers
